,ag,test type,repl,loss,acc,recall,prec,f1
167,2YPV,closed,4,0.06637231260538101,0.9795238095238096,0.9919727891156462,0.9678746847205628,0.9797755828797957
168,2YPV,open,10,0.749293327331543,0.6856462585034013,0.9900680272108844,0.6153911205073995,0.7590091264667534
169,2YPV,closed,10,0.06664294004440308,0.9793877551020408,0.9900680272108844,0.9693619288663914,0.979605573130511
170,2YPV,open,1,0.7766318917274475,0.6778231292517006,0.992108843537415,0.6091896407685882,0.7548654244306419
171,2YPV,closed,1,0.06598146259784698,0.980204081632653,0.992108843537415,0.9690365448504984,0.980436974789916
172,2YPV,open,3,0.7460888624191284,0.6864625850340136,0.9914285714285714,0.6158201639482802,0.7597351821925663
173,2YPV,closed,3,0.06483586132526398,0.9812925170068028,0.9914285714285714,0.9717295639418589,0.9814802343592162
174,2YPV,open,7,0.7471033930778503,0.6861224489795918,0.9914285714285714,0.6155600608210846,0.7595372107567229
175,2YPV,closed,7,0.0653577372431755,0.9805442176870748,0.9914285714285714,0.970306258322237,0.9807537012113057
176,2YPV,open,9,0.7674415707588196,0.6768707482993197,0.9918367346938776,0.6085141903171953,0.7542679772374548
177,2YPV,closed,9,0.06602286547422409,0.9800680272108844,0.9918367346938776,0.9690283131729364,0.9802998722517313
178,2YPV,open,5,0.8579131364822388,0.6707482993197279,0.9814965986394558,0.6053029031716731,0.748806310981939
179,2YPV,closed,5,0.09377601742744446,0.9710884353741497,0.9814965986394558,0.9614820738371318,0.971386251935636
180,1OB1,open,5,1.006971001625061,0.6829251700680272,0.9910204081632653,0.6131829278558801,0.7576056997243747
181,1OB1,closed,5,0.09858681261539459,0.971360544217687,0.9910204081632653,0.9535279486843827,0.9719127360064047
182,1OB1,open,9,0.8714065551757812,0.6928571428571428,0.9951020408163266,0.6201984227931824,0.7641435511675286
183,1OB1,closed,9,0.06624405831098557,0.9809523809523809,0.9951020408163266,0.9677163270706536,0.9812181379125302
184,1OB1,open,7,0.9991230964660645,0.6859183673469388,0.9889795918367347,0.6157560355781448,0.758966327329679
185,1OB1,closed,7,0.09951892495155334,0.9704761904761905,0.9889795918367347,0.953686696405143,0.9710125567726423
186,1OB1,open,3,0.8676322102546692,0.6810884353741496,0.9953741496598639,0.6111946532999165,0.7573498964803312
187,1OB1,closed,3,0.06362458318471909,0.9804761904761905,0.9953741496598639,0.9665741841722817,0.980762785709498
188,1OB1,open,1,0.9799015522003174,0.6891156462585034,0.9899319727891156,0.618076792388719,0.7610082627340236
189,1OB1,closed,1,0.09923852235078812,0.9708843537414966,0.9899319727891156,0.9536041939711665,0.9714285714285714
190,1OB1,open,4,0.9052389860153198,0.6919047619047619,0.994421768707483,0.6195642960074595,0.7634616388990443
191,1OB1,closed,4,0.0699281245470047,0.9797959183673469,0.994421768707483,0.9661599471249174,0.9800871605766007
192,1OB1,open,8,0.8634896278381348,0.6922448979591836,0.9953741496598639,0.6196849059800101,0.763833785759031
193,1OB1,closed,8,0.06637527793645859,0.9807482993197278,0.9953741496598639,0.9670852610707205,0.9810258129399932
194,1OB1,open,6,0.8739309906959534,0.6908163265306122,0.9960544217687075,0.6184844132803919,0.7631208630843801
195,1OB1,closed,6,0.06483621895313263,0.9814965986394558,0.9960544217687075,0.9678741406663142,0.9817621027222744
196,1OB1,open,2,0.8579805493354797,0.6894557823129251,0.9959183673469387,0.617460986925348,0.7623014839885447
197,1OB1,closed,2,0.06440813094377518,0.9806802721088436,0.9959183673469387,0.9664642196989701,0.9809702492629321
198,1OB1,open,10,0.9045622944831848,0.6872108843537414,0.9953741496598639,0.6158249158249158,0.760894435777431
199,1OB1,closed,10,0.06994886696338654,0.9791156462585034,0.9953741496598639,0.9640268810119911,0.979449762366959
